IDN5,NM5,IDN4,NM4,IDN3,NM3,IDN2,NM2,NUTS3,NUTS3_CODE,LAU1,LAU1_CODE,LAU2,LAU2_CODE,x,y,x_long,y_lat
800015,Ábelová,511226,Ábelová,606,Lučenec,6,Banskobystrický,Banskobystrický kraj,SK032,Lučenec,SK0326,Ábelová,SK0326511226,-399594.727300796,-1262906.33340412,19.4253704976198,48.4388952905986
800040,Abovce,557757,Abovce,609,Rimavská Sobota,6,Banskobystrický,Banskobystrický kraj,SK032,Rimavská Sobota,SK0329,Abovce,SK0329557757,-332652.002248473,-1281159.84999129,20.3431326598122,48.3139367122641
800058,Abrahám,503673,Abrahám,202,Galanta,2,Trnavský,Trnavský kraj,SK021,Galanta,SK0212,Abrahám,SK0212503673,-534663.618893133,-1273102.61595607,17.6206425881798,48.2474434338486
800066,Abrahámovce,519014,Abrahámovce,701,Bardejov,7,Prešovský,Prešovský kraj,SK041,Bardejov,SK0411,Abrahámovce,SK0411519014,-254278.688588385,-1190398.8325285,21.3431191883097,49.1657604577374
800074,Abrahámovce,523399,Abrahámovce,703,Kežmarok,7,Prešovský,Prešovský kraj,SK041,Kežmarok,SK0413,Abrahámovce,SK0413523399,-319867.226686119,-1200708.44676229,20.4532629851796,49.042909441818
800091,Abramová,512044,Abramová,509,Turčianske Teplice,5,Žilinský,Žilinský kraj,SK031,Turčianske Teplice,SK0319,Abramová,SK0319512044,-441985.479861171,-1204860.62743687,18.7923082852657,48.9309909517405
800112,Abranovce,524158,Abranovce,707,Prešov,7,Prešovský,Prešovský kraj,SK041,Prešov,SK0417,Abranovce,SK0417524158,-254282.960552539,-1215789.24213365,21.3588336690218,48.9376758925101
800121,Adamovské Kochanovce,505838,Adamovské Kochanovce,309,Trenčín,3,Trenčiansky,Trenčiansky kraj,SK022,Trenčín,SK0229,Adamovské Kochanovce,SK0229505838,-506579.617227651,-1206888.299654,17.9167416863043,48.8636929828543
800155,Adidovce,520012,Adidovce,702,Humenné,7,Prešovský,Prešovský kraj,SK041,Humenné,SK0412,Adidovce,SK0412520012,-202990.617331283,-1208547.1061849,22.0549526528101,49.0215504965594
800163,Alekšince,500020,Alekšince,403,Nitra,4,Nitriansky,Nitriansky kraj,SK023,Nitra,SK0233,Alekšince,SK0233500020,-508780.36543088,-1263419.67294864,17.9560540616934,48.3555663165898
800180,Andač,500950,Zbehy,403,Nitra,4,Nitriansky,Nitriansky kraj,SK023,Nitra,SK0233,Zbehy,SK0233500950,-507228.965418311,-1261142.63641937,17.9741533548231,48.3772134198585
